pitch_mean_st,pitch_std_st,pitch_range_st,energy_cv,energy_level_db,dynamic_range_db,onset_rate,zcr_mean,frac_silencio,centroid_hz,duracion_s,archivo,clase_original,recolector,score_enojo,score_tristeza,score_feliz,score_tranquilidad
11.823228778522385,6.66287247437825,20.529960638148015,0.70047432229363,-22.881803512573242,27.465566635131836,5.335364818572998,0.07389322916666667,0.23148148148148148,1283.5887240571324,10.0,ED_01_ENO_S.ogg,Enojo,ED,0.5405447417935514,0.18496101252987354,0.49715869713051236,0.4152426391945214
12.705294183668208,5.777561108920353,20.017477208774995,0.8085782871566867,-23.03073501586914,36.62015914916992,4.008929252624512,0.09464970341435185,0.25,1502.3387716307107,10.0,ED_02_ENO_S.ogg,Enojo,ED,0.5971357727339001,0.16881868139454506,0.5271251594724602,0.3732831661393182
18.335525757374164,8.053389104735187,27.447895147632117,0.8122578306128659,-27.055959701538086,50.76789855957031,5.264963626861572,0.14441822193287038,0.2777777777777778,2352.9743365411114,10.0,ED_03_ENO_S.ogg,Enojo,ED,0.8117362588489878,0.13664414140679015,0.8093956553560097,0.19426599502563477
16.743107750622492,7.546050663906797,26.363269175467728,0.8912711667209269,-27.229745864868164,54.18612289428711,5.730780601501465,0.1125171802662037,0.3333333333333333,1769.8061754090058,10.0,ED_04_ENO_S.ogg,Enojo,ED,0.7507220961396487,0.22374289169451028,0.6940531768122683,0.18976905981027148
14.280110928847787,4.884640563944239,16.674852887022936,0.4591550983175744,-19.163894653320312,25.45374870300293,4.129693031311035,0.06175853587962963,0.10185185185185185,1304.4570587256906,10.0,ED_05_ENO_S.ogg,Enojo,ED,0.5145239727484692,0.1388081722793903,0.4325530565919195,0.4750889115057715
12.459882201055297,6.453718705863086,24.48517709056446,0.7666693664026069,-26.535160064697266,48.87126922607422,5.139050483703613,0.07087764033564815,0.26851851851851855,1189.9092135308217,10.0,MT_02_ENO.ogg,Enojo,MT,0.6621663922803639,0.24834552476206173,0.5490170214129009,0.3083776964575945
14.328775125048253,7.024745373331698,23.324063930404474,0.698302141927223,-24.726913452148438,45.23362350463867,4.081186294555664,0.04564977575231482,0.23148148148148148,751.9804835911187,10.0,MT_03_ENO.ogg,Enojo,MT,0.6937770701186732,0.2053398729268989,0.6031834821971429,0.24534164191788005
15.984360090677072,6.923537290388063,25.318392731831377,0.824787488084592,-28.376855850219727,53.526119232177734,4.222458839416504,0.07044361255787036,0.28703703703703703,1204.2954469017077,10.0,MT_05_ENO.ogg,Enojo,MT,0.6961926275660127,0.2841214060426438,0.5940614292374751,0.27223753011640767
12.701096565859292,5.715792098187569,18.868369639469236,0.6807179501397063,-25.40021514892578,41.985076904296875,5.187585353851318,0.07448549623842593,0.18518518518518517,1368.2778657683998,10.0,MT_07_ENO.ogg,Enojo,MT,0.6052991460407814,0.1796526219250413,0.5160694411666862,0.41056410570983615
11.244796344923895,6.826863941540963,24.91075825224051,0.6203169551116102,-25.029638290405273,49.18601989746094,4.917010307312012,0.08319317853009259,0.18518518518518517,1357.7076293947466,10.0,MT_10_ENO.ogg,Enojo,MT,0.6827523335101829,0.17496179661689615,0.5603335648993616,0.33474594179264633
3.6456670152773896,10.487314248616448,28.273813983921972,0.8270996552333889,-29.832260131835938,55.241065979003906,5.65027379989624,0.1317138671875,0.25925925925925924,2053.1880724384264,10.0,SG_01_ENO.ogg,Enojo,SG,0.6688780129019778,0.3083544135052316,0.6099130529157631,0.35750503651149446
2.1214587401962106,10.230568788651691,30.482826117539915,0.7445964015714145,-24.65986442565918,24.880523681640625,3.947084665298462,0.054624204282407406,0.24074074074074073,987.6373201104526,10.0,SG_01_FEL.ogg,Enojo,SG,0.5104116717974345,0.3359601278205139,0.44589986334676324,0.37783501137555936
3.6456670152773896,10.487314248616448,28.273813983921972,0.8270996552333889,-29.832260131835938,55.241065979003906,5.65027379989624,0.1317138671875,0.25925925925925924,2053.1880724384264,10.0,SG_06_ENO.ogg,Enojo,SG,0.6688780129019778,0.3083544135052316,0.6099130529157631,0.35750503651149446
13.6249971672184,7.101917564505842,27.562696098971216,1.094145908611576,-43.99147033691406,58.162811279296875,5.525853633880615,0.16484465422453703,0.46296296296296297,2677.237605580582,10.0,SG_07_ENO.mp4,Enojo,SG,0.5732079783104245,0.35,0.7286460350638612,0.05835029942860688
10.332173683662106,5.108794916272629,12.384909375243417,0.5148733729799916,-21.60057258605957,32.55195999145508,5.701070785522461,0.09455475983796297,0.1111111111111111,1542.7804786621043,10.0,VA_01_ENO.ogg,Enojo,VA,0.5372626598802492,0.11327352014334596,0.4002541438151672,0.5493933390070049
10.831875156175336,4.968357542600322,17.68698881114556,0.6358004247225795,-23.136474609375,27.814790725708008,4.528655529022217,0.05871129918981482,0.1574074074074074,1029.022090736468,10.0,VA_09_ENO.ogg,Enojo,VA,0.48296574640380774,0.16473625140291806,0.4147704853011862,0.5822591077658281
1.6416497701931725,5.819601738672825,15.856954738845019,0.6548640775131489,-22.419084548950195,32.764190673828125,5.255794048309326,0.0981174045138889,0.21296296296296297,2000.833325536548,10.0,VA_13_ENO.mpeg,Enojo,VA,0.5718691658049282,0.2308182026952384,0.5003164419576057,0.4590471619754993
2.7807705988281484,6.710100585334894,21.112534350680342,0.8025880119618805,-26.386690139770508,31.276844024658203,4.24865198135376,0.09259259259259259,0.26851851851851855,1519.082772530289,10.0,VA_14_ENO.ogg,Enojo,VA,0.505063563937111,0.32913746379686715,0.4511684432499139,0.4747080110551366
